bin_index,bin_left,bin_right,bin_space,count,method,phase,pruning_pct
55,3.0000000000000098,3.20000000000001,log10_abs_nonzero,0,Unpruned baseline,pre,80
56,3.20000000000001,3.40000000000001,log10_abs_nonzero,0,Unpruned baseline,pre,80
57,3.40000000000001,3.6000000000000103,log10_abs_nonzero,0,Unpruned baseline,pre,80
58,3.6000000000000103,3.8000000000000105,log10_abs_nonzero,0,Unpruned baseline,pre,80
59,3.8000000000000105,4.000000000000011,log10_abs_nonzero,0,Unpruned baseline,pre,80
60,4.000000000000011,4.200000000000011,log10_abs_nonzero,0,Unpruned baseline,pre,80
61,4.200000000000011,4.400000000000011,log10_abs_nonzero,0,Unpruned baseline,pre,80
62,4.400000000000011,4.600000000000011,log10_abs_nonzero,0,Unpruned baseline,pre,80
63,4.600000000000011,4.800000000000011,log10_abs_nonzero,0,Unpruned baseline,pre,80
64,4.800000000000011,5.0000000000000115,log10_abs_nonzero,0,Unpruned baseline,pre,80
65,5.0000000000000115,5.200000000000012,log10_abs_nonzero,0,Unpruned baseline,pre,80
66,5.200000000000012,5.400000000000012,log10_abs_nonzero,0,Unpruned baseline,pre,80
67,5.400000000000012,5.600000000000012,log10_abs_nonzero,0,Unpruned baseline,pre,80
68,5.600000000000012,5.800000000000012,log10_abs_nonzero,0,Unpruned baseline,pre,80
69,5.800000000000012,6.000000000000012,log10_abs_nonzero,0,Unpruned baseline,pre,80
70,6.000000000000012,6.200000000000013,log10_abs_nonzero,0,Unpruned baseline,pre,80
71,6.200000000000013,6.400000000000013,log10_abs_nonzero,0,Unpruned baseline,pre,80
72,6.400000000000013,6.600000000000013,log10_abs_nonzero,0,Unpruned baseline,pre,80
73,6.600000000000013,6.800000000000013,log10_abs_nonzero,0,Unpruned baseline,pre,80
74,6.800000000000013,7.000000000000013,log10_abs_nonzero,0,Unpruned baseline,pre,80
75,7.000000000000013,7.2000000000000135,log10_abs_nonzero,0,Unpruned baseline,pre,80
76,7.2000000000000135,7.400000000000014,log10_abs_nonzero,0,Unpruned baseline,pre,80
77,7.400000000000014,7.600000000000014,log10_abs_nonzero,0,Unpruned baseline,pre,80
78,7.600000000000014,7.800000000000014,log10_abs_nonzero,0,Unpruned baseline,pre,80
79,7.800000000000014,8.000000000000014,log10_abs_nonzero,0,Unpruned baseline,pre,80
