method_family,method,amount,task,source_model_label,pruning_seed,score_batch_seed,log10_rescale_left,log10_rescale_right,rescale_left,rescale_right,bin_width_log10,count
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,1.2000000000000002,1.4000000000000001,15.848931924611142,25.11886431509581,0.2,20865
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,1.4000000000000001,1.6,25.11886431509581,39.810717055349734,0.2,13326
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,1.6,1.8,39.810717055349734,63.09573444801933,0.2,8479
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,1.8,2.0,63.09573444801933,100.0,0.2,5327
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,2.0,2.2,100.0,158.48931924611142,0.2,3388
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,2.2,2.4000000000000004,158.48931924611142,251.18864315095823,0.2,2049
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,2.4000000000000004,2.6000000000000005,251.18864315095823,398.1071705534977,0.2,1395
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,2.6,2.8000000000000003,398.1071705534973,630.9573444801937,0.2,842
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,2.8000000000000003,3.0000000000000004,630.9573444801937,1000.000000000001,0.2,497
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,3.0,3.2,1000.0,1584.893192461114,0.2,311
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,3.2,3.4000000000000004,1584.893192461114,2511.886431509582,0.2,217
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,3.4000000000000004,3.6000000000000005,2511.886431509582,3981.0717055349774,0.2,135
