method_family,method,amount,task,source_model_label,pruning_seed,score_batch_seed,positive_prob_count,rescale_min,rescale_mean,rescale_std,rescale_q50,rescale_q75,rescale_q90,rescale_q95,rescale_q99,rescale_q999,rescale_max,frac_rescale_gt10,frac_rescale_gt20,score_sum,score_max,scale_factor,capped_probs,sigma_used,adaptive_shift,adaptive_attempt
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,100001,261632,1.0,41.071384512538984,2271.3365465939933,5.690249047129257,11.659732750616481,29.17752649010733,58.911763016052774,300.13755584581327,3284.436113426656,968990.1855047558,0.291233488258317,0.1459034063111546,52285.52417855518,1.0,0.002066165368414613,225,0.9585593214469758,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,2,100002,261632,1.0,40.94044973773965,2221.37556735995,5.69407104587988,11.665531982567686,29.182839680869524,58.82866966320936,300.1154441240122,3284.730075614931,939832.2874074519,0.2911799779843444,0.1458766511741683,52284.707149735994,1.0,0.0020674225669278803,230,0.9584346556120775,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,0,100000,261632,1.0,43.97459912130669,2695.5114120663707,5.722136293530017,11.595686136013825,29.00196707965258,57.8233446511538,295.55615019081955,3167.1262894652223,907981.9410963759,0.2893338735322896,0.1452956824853229,52256.34449802562,1.0,0.0016988473805546976,372,0.5831463496480811,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,1,100001,261632,1.0,43.93708710757936,2686.414589497861,5.720789602877899,11.597390526605796,28.994792453738633,57.820717856506285,296.0804132800555,3155.1857213786707,909250.6949294538,0.28920774217221135,0.14526128302348337,52256.01380720114,1.0,0.001698877859241462,372,0.5830570057329026,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,100002,261632,1.0,44.014172212432854,2702.9262951550736,5.721802873813225,11.60285435175981,28.98626389191896,57.843521121965324,296.27563903622786,3177.372684831307,913645.9694575812,0.2894600048923679,0.14524599437377692,52255.47720209167,1.0,0.0016992074804795703,376,0.5835101890185951,nan,-1
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,100000,261632,1.0,34.99186950108558,1957.2386358473964,5.5695371990789955,11.286582718627665,28.34438740663617,56.16425010801283,278.75689742553436,2740.7074026872683,880456.9631850427,0.281467863258317,0.14147734222113503,52319.14139867489,1.0,0.0024555394324351884,85,1.6469923952815595,nan,-1
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,261632,1.0,34.90803396397613,1926.7434934831158,5.568940634683172,11.285922829851227,28.347977502415155,56.23704119368697,279.01926537078054,2740.6304501434965,864218.9408334584,0.28147550758317025,0.14152703033268102,52319.092163670975,1.0,0.0024546458933334403,83,1.6467439917993036,nan,-1
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,261632,1.0,34.88876119112193,1920.3008411694793,5.568163952519392,11.290722359706223,28.336175248684118,56.29052376262362,279.2473929208175,2740.303178371167,861310.5267462797,0.28158252813111545,0.14142765410958905,52318.94835728044,1.0,0.0024562829165215906,85,1.6470774894855555,nan,-1
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,261632,1.0,43.6714091307489,3661.1457175948763,5.475032386673352,11.103656252712064,27.727683660230685,55.03918118204764,279.0780923400994,3024.6463814476847,1708096.1702309686,0.2777412548923679,0.13859925391389433,52322.95791961902,1.0,0.002525359419497244,47,1.659060188820676,nan,-1
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,100001,261632,1.0,43.688846320064734,3661.1270869808322,5.475492155752871,11.103009042739284,27.7630823725592,54.96480137075189,278.8962783124497,3032.2521220956646,1707171.0486448237,0.2778024094911937,0.13854956580234834,52323.03036237673,1.0,0.0025244644136223054,43,1.658488567045215,nan,-1
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,2,100002,261632,1.0,43.6496269556404,3658.277328112143,5.476595553170974,11.104619267544088,27.698481522204055,55.03808511353041,279.1254974374376,3050.550836788703,1706696.3396319917,0.27782916462818,0.13849605552837574,52322.909419759984,1.0,0.0025257032053594593,42,1.6588407337015603,nan,-1
S-NP,S-NP rescale,0.8,modcog:dmsintseq,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,0,100000,261632,1.0,37.00476975071315,1544.49342993595,5.6449428610946235,11.419029075632668,28.29098549621981,56.362187368020805,272.7623399799676,2794.9262410527754,451380.63305464864,0.2855040667808219,0.14193600171232876,52296.35769021104,1.0,0.002436665226323782,247,1.8310358440564944,nan,-1
