method,family,method_label,cap_quantile,cap_percentile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,sequence_retention_mean,sequence_retention_sd,sequence_retention_sem,post_acc_sequence_mean,post_acc_sequence_sd,post_acc_sequence_sem,effective_nonzero_recurrent_density_offdiag_mean,effective_nonzero_recurrent_density_offdiag_sd,effective_nonzero_recurrent_density_offdiag_sem,candidate_edge_cap_value_mean,candidate_edge_cap_value_sd,candidate_edge_cap_value_sem,post_rec_linear_rho_mean,post_rec_linear_rho_sd,post_rec_linear_rho_sem,post_rec_linear_rho_ratio_to_unpruned_mean,post_rec_linear_rho_ratio_to_unpruned_sd,post_rec_linear_rho_ratio_to_unpruned_sem
S-NP capped rescale,S-NP,S-NP capped q50,0.5,50,50,24,24,72,3,3,0.9448583485738733,0.04287677841918793,0.008752185745115664,0.6375826779265777,0.09901810336925922,0.020211985712737076,0.4659447982068113,0.00877076204757165,0.0017903243059932284,2.3686623680964725,0.09388609943031637,0.01916441979537346,1.1459293133682675,0.10643333142760135,0.021725612801846,0.9986163960560291,0.012420191388884613,0.002535260950873068
S-NP capped rescale,S-NP,S-NP capped q50,0.5,50,60,24,24,72,3,3,0.8772581616358597,0.09590086447999097,0.01957568198898146,0.5892813718669362,0.09080303488419181,0.018535091880200912,0.3862046160680311,0.005748172477148621,0.0011733407935436767,2.9608279601205907,0.1173576242878954,0.023955524744216816,1.154492308696111,0.10049021111155895,0.020512478447323318,1.0066674837463327,0.019599428448883873,0.004000716579162822
S-NP capped rescale,S-NP,S-NP capped q50,0.5,50,70,24,24,72,3,3,0.6684479665789523,0.2148708597879348,0.0438603305894624,0.43757910143079415,0.10642623741435633,0.021724164742456097,0.2960366723744292,0.002836101580916704,0.0005789168109955518,3.94777061349412,0.15647683238386045,0.03194069965895574,1.1730852574110031,0.08829813888158007,0.01802378212477291,1.0240817624772982,0.03269609646556323,0.006674062743453871
S-NP capped rescale,S-NP,S-NP capped q50,0.5,50,80,24,24,72,3,3,0.42756432239802034,0.3034267230530095,0.06193672048372158,0.27221513698834493,0.17174006149099486,0.035056293253928686,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,5.921655920241183,0.23471524857579087,0.047911049488433645,1.2131608939833112,0.06575426609401787,0.013422033361794374,1.0613113234345384,0.05652978673587152,0.011539094397603155
S-NP capped rescale,S-NP,S-NP capped q60,0.6,60,50,24,24,72,3,3,0.947129102891981,0.043083066815714915,0.008794294187728001,0.6392429522158627,0.09982357894093986,0.02037640272531159,0.4659447982068113,0.00877076204757165,0.0017903243059932284,3.014652399565495,0.14020833235036834,0.02861990599541351,1.150243181321356,0.1075495834033974,0.021953466782268824,1.0023121333366496,0.011569703004938814,0.0023616557364704452
S-NP capped rescale,S-NP,S-NP capped q60,0.6,60,60,24,24,72,3,3,0.8673530863670348,0.10161563175212869,0.020742203973605988,0.5813792614112007,0.08216980000310928,0.016772840189513447,0.3862046160680311,0.005748172477148621,0.0011733407935436767,3.768315499456868,0.1752604154379602,0.035774882494266844,1.1597840769423378,0.10091952112956921,0.020600110987789168,1.0112780042295269,0.01947547782862103,0.003975415264750702
S-NP capped rescale,S-NP,S-NP capped q60,0.6,60,70,24,24,72,3,3,0.6512834874796363,0.2264805994155786,0.04623015876732047,0.42495556477445495,0.11317712627047735,0.023102184159767572,0.2960366723744292,0.002836101580916704,0.0005789168109955518,5.024420665942491,0.23368055391728051,0.047699843325689176,1.1790925512711208,0.0881699202412049,0.01799760960440353,1.029360954241031,0.03291586134048818,0.006718922060699929
S-NP capped rescale,S-NP,S-NP capped q60,0.6,60,80,24,24,72,3,3,0.41599462786344715,0.3088905102788817,0.06305201138093189,0.26439967720716645,0.17599231705597435,0.03592428128643785,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,7.536630998913739,0.3505208308759207,0.07154976498853374,1.2202535354428823,0.06499110182078771,0.01326625310684972,1.0676296037314277,0.05811247793719065,0.01186215988623852
S-NP capped rescale,S-NP,S-NP capped q70,0.7,70,50,24,24,72,3,3,0.9412270579737986,0.048311411131289055,0.009861525502122801,0.6347418844068551,0.0960741180164813,0.01961104721902596,0.4659447982068113,0.00877076204757165,0.0017903243059932284,4.070036959861532,0.20864990482876938,0.04259048347589641,1.1532457537121243,0.10861506260379865,0.02217095681331313,1.0048645967683696,0.01109501239107084,0.002264759920665024
S-NP capped rescale,S-NP,S-NP capped q70,0.7,70,60,24,24,72,3,3,0.8488177399804234,0.11459443923179953,0.0233914919565236,0.5672711504377138,0.0747676856905663,0.015261889932556564,0.3862046160680311,0.005748172477148621,0.0011733407935436767,5.087546199826915,0.26081238103596177,0.05323810434487052,1.1637317505147722,0.10119698212924652,0.020656747477183497,1.0147241481195668,0.019532223108372715,0.003986998346475961
