family,method,cap_percentile,cap_quantile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,post_rec_ct_abscissa_mean,post_rec_ct_abscissa_sd,post_rec_ct_abscissa_sem,abs_post_rec_ct_abscissa_mean,abs_post_rec_ct_abscissa_sd,abs_post_rec_ct_abscissa_sem,raw_post_rec_ct_abscissa_mean,raw_abs_post_rec_ct_abscissa_mean
L-NP,L-NP capped rescale,90,0.9,70,24,24,72,3,3,1.6261415133873622,0.5711406478886318,0.11658359655747855,1.6261415133873622,0.5711406478886318,0.11658359655747855,1.6261415133873622,1.6261415133873622
L-NP,L-NP capped rescale,90,0.9,80,24,24,72,3,3,2.170632458395428,0.3835697369870289,0.07829584469931407,2.170632458395428,0.3835697369870289,0.07829584469931407,2.170632458395428,2.170632458395428
L-NP,L-NP rescale,100,1.0,50,24,24,72,3,3,1.2206488748391469,0.7533504577843524,0.15377701825531526,1.2206488748391469,0.7533504577843524,0.15377701825531526,1.2206488748391469,1.2206488748391469
L-NP,L-NP rescale,100,1.0,60,24,24,72,3,3,1.3592233318421576,0.6962186078628029,0.14211502822455996,1.3592233318421576,0.6962186078628029,0.14211502822455996,1.3592233318421576,1.3592233318421576
L-NP,L-NP rescale,100,1.0,70,24,24,72,3,3,1.6332345025406942,0.569514119330246,0.11625158280580271,1.6332345025406942,0.569514119330246,0.11625158280580271,1.6332345025406942,1.6332345025406942
L-NP,L-NP rescale,100,1.0,80,24,24,72,3,3,2.181939529048072,0.38386495687106026,0.07835610620579743,2.181939529048072,0.38386495687106026,0.07835610620579743,2.181939529048072,2.181939529048072
S-NP,S-NP capped rescale,10,0.1,50,24,24,72,3,3,0.8877803644993238,0.6798327380318298,0.13877027655143087,0.8877803644993238,0.6798327380318298,0.13877027655143087,0.8877803644993238,0.8877803644993238
S-NP,S-NP capped rescale,10,0.1,60,24,24,72,3,3,0.9144737954354948,0.6676798529507952,0.13628957927216281,0.9144737954354948,0.6676798529507952,0.13628957927216281,0.9144737954354949,0.9144737954354949
S-NP,S-NP capped rescale,10,0.1,70,24,24,72,3,3,1.0306640598509047,0.6013395135237702,0.12274791419222512,1.0306640598509047,0.6013395135237702,0.12274791419222512,1.0306640598509047,1.0306640598509047
S-NP,S-NP capped rescale,10,0.1,80,24,24,72,3,3,1.3029530180825126,0.46218674230899787,0.0943434737113552,1.3029530180825126,0.46218674230899787,0.0943434737113552,1.3029530180825128,1.3029530180825128
S-NP,S-NP capped rescale,20,0.2,50,24,24,72,3,3,0.9579316363152529,0.702562912272394,0.14341005393925893,0.9579316363152529,0.702562912272394,0.14341005393925893,0.957931636315253,0.957931636315253
S-NP,S-NP capped rescale,20,0.2,60,24,24,72,3,3,1.0088708392447898,0.6748501543942897,0.1377532109253714,1.0088708392447898,0.6748501543942897,0.1377532109253714,1.0088708392447896,1.0088708392447896
S-NP,S-NP capped rescale,20,0.2,70,24,24,72,3,3,1.1771791420049136,0.5831160555232574,0.11902806640470044,1.1771791420049136,0.5831160555232574,0.11902806640470044,1.1771791420049138,1.1771791420049138
