dataset,metric,unit,pruning_pct,method,n,mean,median,sd,sem,min,max,range
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,70,S-NP capped q50,24,0.2961671036672375,0.2965405607876712,0.0030654457478229598,0.0006257314930292208,0.287743853962818,0.3003837451076321,0.01263989114481412
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,70,S-NP capped q75,24,0.2961671036672375,0.2965405607876712,0.0030654457478229598,0.0006257314930292208,0.287743853962818,0.3003837451076321,0.01263989114481412
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,70,S-NP capped q90,24,0.2961671036672375,0.2965405607876712,0.0030654457478229598,0.0006257314930292208,0.287743853962818,0.3003837451076321,0.01263989114481412
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,70,S-NP rescale,24,0.2961671036672375,0.2965405607876712,0.0030654457478229598,0.0006257314930292208,0.287743853962818,0.3003837451076321,0.01263989114481412
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,80,Baseline,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,80,S-NP capped q50,24,0.19947849778824198,0.19979016328277885,0.001069290190070319,0.00021826794605299345,0.1959316903131115,0.2003921538649706,0.004460463551859112
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,80,S-NP capped q75,24,0.19947849778824198,0.19979016328277885,0.001069290190070319,0.00021826794605299345,0.1959316903131115,0.2003921538649706,0.004460463551859112
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,80,S-NP capped q90,24,0.19947849778824198,0.19979016328277885,0.001069290190070319,0.00021826794605299345,0.1959316903131115,0.2003921538649706,0.004460463551859112
exploratory_capped_probe_h512,effective_nonzero_recurrent_density_offdiag,task_network_cell,80,S-NP rescale,24,0.19947849778824198,0.19979016328277885,0.001069290190070319,0.00021826794605299345,0.1959316903131115,0.2003921538649706,0.004460463551859112
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,50,Baseline,8,1.1485160638888678,1.0898664395014446,0.11778409212153963,0.04164296512752084,1.0338882605234783,1.3678160905838013,0.333927830060323
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,50,S-NP capped q50,8,1.1483278075853984,1.096426804860433,0.10396489963505516,0.03675714276866316,1.0535842577616374,1.3536136547724407,0.3000293970108032
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,50,S-NP capped q75,8,1.157111088434855,1.0989593068758647,0.10665461740154737,0.03770810160474545,1.0640180110931396,1.3640124400456746,0.2999944289525349
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,50,S-NP capped q90,8,1.1590561419725418,1.1006973584493003,0.10720110258711282,0.037901313295011105,1.0650570789972942,1.3653590281804402,0.300301949183146
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,50,S-NP rescale,8,1.1593510458866754,1.1008826096852622,0.10745771735527777,0.037992040316372135,1.0655065774917603,1.3658947944641113,0.3003882169723511
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,60,Baseline,8,1.1485160638888678,1.0898664395014446,0.11778409212153963,0.04164296512752084,1.0338882605234783,1.3678160905838013,0.333927830060323
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,60,S-NP capped q50,8,1.1561862975358963,1.1098206440607707,0.09814269837263799,0.03469868377161913,1.0685896078745525,1.3535519043604534,0.2849622964859009
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,60,S-NP capped q75,8,1.1670296490192413,1.1176990071932473,0.09910263725623465,0.035038073418677054,1.0780962705612183,1.3630600372950237,0.2849637667338054
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,60,S-NP capped q90,8,1.170058622956276,1.1192783315976462,0.09860630362507534,0.03486259298051521,1.0838672320048015,1.3642768065134685,0.280409574508667
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,60,S-NP rescale,8,1.1708874205748239,1.1203522086143494,0.09847118722119076,0.034814822117797045,1.0860607624053955,1.3648984829584758,0.2788377205530803
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,70,Baseline,8,1.1485160638888678,1.0898664395014446,0.11778409212153963,0.04164296512752084,1.0338882605234783,1.3678160905838013,0.333927830060323
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,70,S-NP capped q50,8,1.172053764263789,1.1305245757102966,0.08401531552770336,0.029703899666583242,1.1051766872406006,1.3441012303034465,0.23892454306284594
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,70,S-NP capped q75,8,1.1835516492525735,1.139294147491455,0.08429533467632523,0.029802901386009547,1.119836688041687,1.3529986540476482,0.23316196600596117
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,70,S-NP capped q90,8,1.1870952248573303,1.1414191921552022,0.08367114542259628,0.02958221715898179,1.1240896383921306,1.354814926783244,0.23072528839111328
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,70,S-NP rescale,8,1.1880408277114232,1.1426137884457908,0.0834577631098516,0.029506775118818277,1.1252485911051433,1.3555764357248943,0.23032784461975098
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,80,Baseline,8,1.1485160638888678,1.0898664395014446,0.11778409212153963,0.04164296512752084,1.0338882605234783,1.3678160905838013,0.333927830060323
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,80,S-NP capped q50,8,1.2113890151182811,1.1804885069529214,0.06412446630292387,0.022671422481382864,1.1722681125005086,1.3578118085861206,0.18554369608561205
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,80,S-NP capped q75,8,1.2259013255437217,1.1956307689348855,0.06111496975352214,0.02160740477236312,1.1882445017496746,1.366750677426656,0.17850617567698146
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,80,S-NP capped q90,8,1.2292772978544235,1.2004455129305522,0.05983505935581724,0.02115488811159897,1.1927499373753865,1.3672913710276287,0.17454143365224217
exploratory_capped_probe_h512,post_rec_linear_rho,task_mean,80,S-NP rescale,8,1.23070760567983,1.2015301585197449,0.059644844007294015,0.021087636830185705,1.1931723753611247,1.3676420450210571,0.17446966965993238
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,50,Baseline,24,1.1485160638888676,1.0886936783790588,0.116748702775316,0.023831229160948212,1.027032732963562,1.411774754524231,0.38474202156066895
